Target;Type;Res;Oligo.State;Entry Date; Server Exp.;Human Exp.;QA Exp.;Cancellation Date;Description
T1137s9;All groups;289;A1;2022-06-02;2022-06-05;2022-06-23;-;-;MceG complex 8fef  
H1137;All groups;3939;A1B1C1D1 E1F1G2H1I1;2022-06-03;2022-06-06;2022-06-24;2022-06-27;-;MceG complex 8fef  
R1138;RNA;720;A1;2022-06-03;2022-06-06;2022-06-24;-;-;6HBC-Young 7ptk, 7ptl  
H1140;All groups;351;A1B1;2022-06-06;2022-06-09;2022-06-27;2022-06-30;-;CNPase-Nb   
T1139;All groups;317;A1;2022-06-06;2022-06-09;2022-06-27;-;-;Q99549   
H1141;All groups;346;A1B1;2022-06-07;2022-06-10;2022-06-28;2022-07-01;-;CNPase-Nb7e   
T1145;All groups;635;A1;2022-06-07;2022-06-10;2022-06-28;-;-;Starch binding protein 7uww  
H1142;All groups;347;A1B1;2022-06-08;2022-06-11;2022-06-29;2022-07-02;-;CNPase-Nb8c   
T1146;All groups /Ligand;310;A1;2022-06-08;2022-06-18;2022-06-29;-;-;Bd0601 Q6MQ80   
H1143;All groups;350;A1B1;2022-06-09;2022-06-12;2022-06-30;2022-07-03;-;CNPase-Nb10e   
T1147;All groups;103;A1;2022-06-09;2022-06-12;2022-06-30;-;-;KEK_05752, MmpS5 8em5  
H1144;All groups;341;A1B1;2022-06-10;2022-06-13;2022-07-01;2022-07-04;-;CNPase-Nb8d   
R1149;RNA;124;A1;2022-06-10;2022-06-13;2022-07-02;-;-;SARS-CoV-2 SL5 8uys  
T1148;Server only;177;A1;2022-06-10;2022-06-13;2022-07-01;-;2022-06-15;Q9H1R2   <em><font color=red>Not a TS target:<br>auxiliary structure for ligand prediction.  <br>Canceled (no ligand).</font></em>
H1151;All groups;228;A1B1;2022-06-13;2022-06-16;2022-07-04;2022-07-07;-;P9WF37 8d5v  
T1150;All groups;370;A1;2022-06-13;2022-06-16;2022-07-04;-;-;S0ET42_CHTCT   
T1151s2;All groups;116;A1;2022-06-13;2022-06-16;2022-07-04;-;-;P9WF37 8d5v  
T1152;All groups /Ligand;56;A2;2022-06-14;2022-06-17;2022-07-05;2022-07-08;-;Protein-carbohydrate complex 7r1l  
T1153;All groups;299;A2;2022-06-14;2022-06-17;2022-07-05;2022-07-08;-;Q7L9B9   
R1117v2;RNA /Ligand;30;A1;2022-06-15;2022-06-18;2022-07-06;-;-;PreQ1 class I type III riboswitch 8fza  
T1127v2;Server /Ligand;211;A2;2022-06-15;2022-06-18;2022-07-06;2022-07-09;-;Q9ZV05   <em><font color=red>Not a TS target:<br>auxiliary structure for ligand prediction.</font></em>
T1154;All groups;1424;A1;2022-06-15;2022-06-18;2022-07-06;-;-;Q4J6E5 S-layer protein A 7zcx  
R1156;RNA;135;A1;2022-06-16;2022-06-19;2022-07-07;-;-;BtCoV-HKU5 SL5 8uye, 8uyg, 8uyj  
T1155;All groups;116;A1;2022-06-16;2022-06-19;2022-07-07;-;-;Uniprot Q8IN44 8pbv  
H1157;All groups;1524;A1B1;2022-06-17;2022-06-20;2022-07-08;2022-07-11;-;Complex of CtEDEM and CtPDI1P 8pko  
T1157s1;All groups;1029;A1;2022-06-17;2022-06-20;2022-07-08;-;-;Complex of CtEDEM and CtPDI1P 8pko  
T1157s2;All groups;495;A1;2022-06-17;2022-06-20;2022-07-08;-;-;Complex of CtEDEM and CtPDI1P 8pko  
T1158;All groups;1340;A1;2022-06-20;2022-06-23;2022-07-11;-;-;MRP4 8sxa  
T1159;All groups;160;A1;2022-06-20;2022-06-23;2022-07-11;-;-;TecA tgat  7pzt  
T1158v1;Server /Ligand;1340;A1;2022-06-21;2022-06-24;2022-07-12;-;-;MRP4 - mut E1202Q 8sx8  MRP4-PGE1    </font></em><em><font color=red>Not a TS target:<br>auxiliary structure for ligand prediction.</font></em>
T1160;All groups;48;A2;2022-06-21;2022-06-24;2022-07-12;2022-07-15;-;mk2h_deltaMILPYS   
T1161;All groups;48;A2;2022-06-21;2022-06-24;2022-07-12;2022-07-15;-;mk2h_deltaMILPYS_ph1   
T1158v2;Server /Ligand;1340;A1;2022-06-22;2022-06-25;2022-07-13;-;-;MRP4 - mut E1202Q 8sxb  MRP4-PGE2    <em><font color=red>Not a TS target:<br>auxiliary structure for ligand prediction.</font></em>
T1162;All groups;196;A1;2022-06-22;2022-06-25;2022-07-13;-;-;SAG 16   
T1158v3;Server /Ligand;1340;A1;2022-06-23;2022-06-26;2022-07-14;-;-;MRP4 - mut E1202Q 8sx7  MRP4-DHEAS    <em><font color=red>Not a TS target:<br>auxiliary structure for ligand prediction.</font></em>
T1163;All groups;191;A1;2022-06-23;2022-06-26;2022-07-14;-;-;SAG 91   
T1158v4;Server /Ligand;1340;A1;2022-06-24;2022-06-27;2022-07-15;-;-;MRP4 - mut E1202Q 8swn  MRP4-ATP  <em><font color=red>Not a TS target:<br>auxiliary structure for ligand prediction.</font></em>
T1165;All groups;3014;A1;2022-06-27;2022-07-02;2022-07-25;-;-;Modified ligase Tom1   
H1166;All groups;577;A1B1C1;2022-06-29;2022-07-02;2022-07-20;2022-07-23;-;S24-188   
H1167;All groups;560;A1B1C1;2022-06-30;2022-07-03;2022-07-21;2022-07-24;-;S24-1379   
H1168;All groups;567;A1B1C1;2022-07-01;2022-07-04;2022-07-22;2022-07-25;-;S24-1063   
T1169;All groups;3364;A1;2022-07-04;2022-07-10;2022-08-01;-;-;Q16U82 8fjp  
T1170;All groups /Ligand;318;A6;2022-07-06;2022-07-09;2022-07-27;2022-07-30;-;RuvB 7pbr  
H1171;All groups /Ligand;366;A6B1;2022-07-07;2022-07-10;2022-07-28;2022-07-31;-;RuvB - RuvA (domain 3) 7pbl  
H1172;All groups /Ligand;366;A6B2;2022-07-07;2022-07-10;2022-07-28;2022-07-31;-;RuvB - 2x RuvA (domain 3) 7pbp  
T1173;All groups;204;A3;2022-07-08;2022-07-11;2022-07-29;2022-08-01;-;Bd1334 Q6MNC5  8on4  
T1182;All groups;544;A1;2022-07-08;2022-07-11;2022-07-29;-;-;Bd1177 Q6MNR1   
T1174;All groups;338;A3;2022-07-11;2022-07-14;2022-08-01;2022-08-04;-;Bd2133  8ok3  
T1175;All groups;312;A1;2022-07-11;2022-07-14;2022-08-01;-;-;idp97526   
T1176;All groups;170;A8;2022-07-12;2022-07-15;2022-08-02;2022-08-05;-;idp97509 8smq  
T1177;All groups;223;A1;2022-07-12;2022-07-15;2022-08-02;-;-;idp97510   
T1178;All groups;306;A2;2022-07-13;2022-07-16;2022-08-03;2022-08-06;-;GenBank: ADH93577.1 8ufn  
T1179;All groups;261;A2;2022-07-13;2022-07-16;2022-08-03;2022-08-06;-;GenBank: QBQ83077.1 8tn8  
T1180;All groups;404;A1;2022-07-14;2022-07-17;2022-08-04;-;-;R7C7N8   
T1181;All groups /Ligand;688;A3;2022-07-14;2022-07-17;2022-08-04;2022-08-07;-;G0XNW6   
T1183;All groups;200;A1;2022-07-15;2022-07-18;2022-08-05;-;-;TsaB 8ifx  
T1184;All groups;171;A3;2022-07-15;2022-07-18;2022-08-05;2022-08-08;-;WP_011164940.1   
H1185;All groups;1334;A1B1C1D1;2022-07-18;2022-07-23;2022-08-15;2022-08-18;-;BCDX2 8ouy  
T1185s1;All groups;350;A1;2022-07-18;2022-07-23;2022-08-15;-;-;BCDX2 8ouy  
T1185s2;All groups;376;A1;2022-07-18;2022-07-23;2022-08-15;-;-;BCDX2 8ouy  
T1185s4;All groups;280;A1;2022-07-18;2022-07-23;2022-08-15;-;-;BCDX2 8ouy  
T1186;Server /Ligand;259;A1;2022-07-19;2022-07-22;2022-08-09;-;-;beta-lactamase with dicloxacillin   <em><font color=red>Not a TS target:<br>auxiliary structure for ligand prediction.</font></em>
T1187;All groups /Ligand;166;A2;2022-07-20;2022-07-23;2022-08-10;2022-08-13;-;Q94EW1_TOBAC 8ad2  
T1188;All groups /Ligand;630;A1;2022-07-20;2022-07-23;2022-08-10;-;-;F8UNI4_CLOPF 8c6z  
R1189;RNA;173;A1B6;2022-07-21;2022-07-24;2022-08-11;-;-;A-6B 7YR7  
R1190;RNA;173;A1B4;2022-07-21;2022-07-24;2022-08-11;-;-;A-4B 7yr6  
T1189;All groups;173;A1B6;2022-07-21;2022-07-24;2022-08-11;2022-08-14;-;A-6B 7yr7  <em><font color=red>Not a TS target:<br>auxiliary structure for protein-RNA complex prediction.</font></em>
T1190;All groups;173;A1B4;2022-07-21;2022-07-24;2022-08-11;2022-08-14;-;A-4B 7yr6  <em><font color=red>Not a TS target:<br>auxiliary structure for protein-RNA complex prediction.</font></em>
T1191;All groups;1770;A1;2022-07-22;2022-07-25;2022-08-12;-;2022-09-13;Bee blood protein   <em><font color=red>Canceled (no reliable reference structure).</font></em>
T1192;All groups;418;A10;2022-07-25;2022-07-28;2022-08-16;2022-08-19;-;RAD52   <em><font color=red>Not a TS target:<br>auxiliary structure for multimeric prediction.  </font></em>
T1193;All groups;1297;A1;2022-07-26;2022-07-29;2022-08-16;-;2022-09-13;tunaPgp   <em><font color=red>Canceled (no target structure).</font></em>
T1194;All groups;168;A1;2022-07-27;2022-07-30;2022-08-17;-;-;Bd1399 8okh  
T1195;All groups;279;A1;2022-07-27;2022-07-30;2022-08-17;-;-;BRAF kinase domain   
T1196;All groups;361;A1;2022-07-28;2022-07-31;2022-08-18;-;-;p38a kinase domain   
T1197;All groups;289;A1;2022-07-29;2022-08-01;2022-08-19;-;-;Src kinase domain   

