#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
HIV-1_SL4            RF01382   3cgs_B               -          cm       11       20       13        4      -    5'    2 0.60   0.0    8.2       5.5 ?   HIV-1 stem-loop 4 packaging signal
let-7                RF00027   7tqv_G               -          cm        8       46        2       52      +    3'    4 0.45   0.0   12.7       1.8 ?   let-7 microRNA precursor
let-7                RF00027   7tqv_G               -          cm       24       77       43        3      -    5'    4 0.44   0.0   10.1       8.9 ?   let-7 microRNA precursor
let-7                RF00027   7tqv_H               -          cm        8       46       51        1      -    3'    4 0.45   0.0   12.7       1.8 ?   let-7 microRNA precursor
let-7                RF00027   7tqv_H               -          cm       24       77       10       50      +    5'    4 0.44   0.0   10.1       8.9 ?   let-7 microRNA precursor
asX6                 RF02239   7ptk_B               -          cm        1       93      126      218      +    no    1 0.54   0.0   21.9      0.24 ?   Xanthomonas sRNA asX6
SAM-IV               RF00634   7ptk_B               -          cm        1      116      673      619      -    no    1 0.58   0.0   17.3       2.1 ?   SAM (S-adenosyl methionine) riboswitch aptamer
mir-1224             RF00942   8t2p_A               -          cm        1       86       99       34      -    no    1 0.64   0.0   20.1      0.14 ?   microRNA mir-1224
mir-1913             RF03191   8t2p_A               -          cm        1       80       29      109      +    no    1 0.58   0.0   16.0      0.84 ?   mir-1913 microRNA precursor family
mir-84               RF00811   8t2p_A               -          cm        1       75       97       36      -    no    1 0.61   0.0   13.7      0.92 ?   microRNA mir-84
Rubella_3            RF00194   8t2p_A               -          cm        9       24       74       59      -    no    1 0.69   0.0   11.6       4.9 ?   Rubella virus 3' cis-acting element
Rubella_3            RF00194   8t2p_A               -          cm        9       24       59       74      +    no    1 0.69   0.0   11.2         6 ?   Rubella virus 3' cis-acting element
SAM-SAH              RF01727   8t2p_B               -          cm        1       49      147      127      -    no    1 0.43   0.0   10.1       4.9 ?   SAM/SAH riboswitch aptamer
Rubella_3            RF00194   8t2p_B               -          cm        1       68       73      144      +    no    1 0.56   0.0   11.8         5 ?   Rubella virus 3' cis-acting element
Rubella_3            RF00194   8t2p_B               -          cm        9       24       97       82      -    no    1 0.69   0.0   11.6       5.5 ?   Rubella virus 3' cis-acting element
mir-15               RF00455   7zpi_B               -          cm       14       75        1       57      +    no    1 0.47   0.0   43.9   6.9e-11 !   mir-15 microRNA precursor family
mir-15_2             RF03549   7zpi_B               -          cm        1       56        2       58      +    no    1 0.49   0.0   23.8    0.0019 !   mir-15_2 microRNA precursor family
mir-16               RF00254   7zpi_B               -          cm       10       75        1       59      +    no    1 0.47   0.0   20.2     0.011 ?   mir-16 microRNA precursor family
mir-15               RF00455   7zpi_B               -          cm       16       73       55        3      -    no    1 0.49   0.0   16.8     0.035 ?   mir-15 microRNA precursor family
mir-497              RF00793   7zpi_B               -          cm       16       71        3       55      +    no    1 0.49   0.0   15.8      0.32 ?   microRNA mir-497
mir-322              RF00737   7zpi_B               -          cm       13       65        3       55      +    no    1 0.49   0.0   15.6      0.37 ?   microRNA mir-322
mir-15_2             RF03549   7zpi_B               -          cm        1       55       56        1      -    3'    3 0.48   0.0   13.0       1.6 ?   mir-15_2 microRNA precursor family
CRISPR-DR50          RF01363   8wmn_F               -          cm        1       46       76       21      -    no    1 0.23   0.2   34.6   0.00021 !   CRISPR RNA direct repeat element
CRISPR-DR50          RF01363   8wmn_F               -          cm        1       46       21       76      +    no    1 0.23   0.2   31.2    0.0012 !   CRISPR RNA direct repeat element
MIR8706              RF04145   8wmn_F               -          cm        1      101       75       22      -    no    1 0.22   0.2   25.9    0.0022 !   MIR8706 microRNA precursor family
MIR8706              RF04145   8wmn_F               -          cm        1      101       22       75      +    no    1 0.22   0.2   23.7    0.0086 !   MIR8706 microRNA precursor family
mir-3047             RF03339   8wmn_F               -          cm        1       61       74       21      -    no    1 0.24   0.1   23.2    0.0091 !   mir-3047 microRNA precursor family
MIR6288              RF03664   8wmn_F               -          cm        1       92       75       22      -    no    1 0.22   0.2   22.1     0.017 ?   MIR6288 microRNA precursor family
MIR7696              RF03743   8wmn_F               -          cm        1       88       74       23      -    no    1 0.23   0.1   22.4     0.023 ?   MIR7696 microRNA precursor family
bantam               RF00727   8wmn_F               -          cm        1       82       14       78      +    no    1 0.28   0.0   22.2     0.023 ?   bantam microRNA precursor family
tracrRNA             RF02348   8wmn_F               -          cm        1       92       45      127      +    no    1 0.35   0.0   23.6      0.03 ?   Trans-activating crRNA
bantam               RF00727   8wmn_F               -          cm        1       82       83       19      -    no    1 0.25   0.5   21.6     0.033 ?   bantam microRNA precursor family
mir-2076             RF04036   8wmn_F               -          cm        1       68       75       21      -    no    1 0.24   0.1   20.0     0.048 ?   mir-2076 microRNA precursor family
MIR1882              RF03632   8wmn_F               -          cm        1      131       77       20      -    no    3 0.24   0.2   19.8     0.056 ?   MIR1882 microRNA precursor family
STnc560              RF01407   8wmn_F               -          cm        1      129       39      127      +    3'    3 0.33   0.0   17.4     0.057 ?   STnc560 Hfq binding RNA
mir-876              RF00935   8wmn_F               -          cm        1       81       72       25      -    no    1 0.21   0.2   19.9      0.06 ?   microRNA mir-876
MIR6288              RF03664   8wmn_F               -          cm        1       92       22       75      +    no    1 0.22   0.2   19.8     0.075 ?   MIR6288 microRNA precursor family
mir-203              RF00696   8wmn_F               -          cm        1       80       12       81      +    no    1 0.31   0.0   17.5     0.081 ?   microRNA mir-203
mir-3167             RF03217   8wmn_F               -          cm        7       51       75       22      -    no    1 0.22   0.2   20.0      0.15 ?   mir-3167 microRNA precursor family
MIR861               RF03263   8wmn_F               -          cm        1      111       74       23      -    no    1 0.23   0.1   19.4      0.16 ?   MIR861 microRNA precursor family
MIR4378              RF03722   8wmn_F               -          cm        1       91       74       23      -    no    1 0.23   0.1   19.1      0.21 ?   MIR4378 microRNA precursor family
mir-3047             RF03339   8wmn_F               -          cm        1       61       21       78      +    no    1 0.22   0.4   18.0      0.22 ?   mir-3047 microRNA precursor family
mir-876              RF00935   8wmn_F               -          cm        7       75       21       76      +    no    1 0.23   0.2   17.8      0.22 ?   microRNA mir-876
mir-5892             RF03689   8wmn_F               -          cm        1       90       20       77      +    no    1 0.24   0.2   17.9      0.24 ?   mir-5892 microRNA precursor family
MIR8041              RF03813   8wmn_F               -          cm        1       71       24       75      +    no    1 0.23   0.1   17.5       0.3 ?   MIR8041 microRNA precursor family
mir-3747             RF03640   8wmn_F               -          cm        1       67       19       76      +    no    1 0.24   0.2   16.9      0.39 ?   mir-3747 microRNA precursor family
mir-3140             RF03501   8wmn_F               -          cm        1       90       20       78      +    no    1 0.24   0.2   17.2      0.46 ?   mir-3140 microRNA precursor family
MIR4378              RF03722   8wmn_F               -          cm        1       91       23       74      +    no    1 0.23   0.1   17.6      0.47 ?   MIR4378 microRNA precursor family
K10_TLS              RF00207   8wmn_F               -          cm        1       48       75       22      -    no    1 0.22   0.2   16.5       0.5 ?   K10 transport/localisation element (TLS)
mir-203              RF00696   8wmn_F               -          cm        1       80       82       19      -    no    1 0.25   0.4   14.6      0.54 ?   microRNA mir-203
CRISPR-DR49          RF01362   8wmn_F               -          cm        1       47       21       69      +    no    1 0.22   0.2   18.0      0.57 ?   CRISPR RNA direct repeat element
cow-rumen-4          RF02948   8wmn_F               -          cm        1       64       35       95      +    no    1 0.25   0.2   18.0      0.68 ?   cow-rumen-4 RNA
mir-2513             RF04108   8wmn_F               -          cm        1      120       21       76      +    no    1 0.23   0.2   15.9      0.89 ?   mir-2513 microRNA precursor family
JA02                 RF02730   8wmn_F               -          cm        1      116       18      110      +    no    1 0.31   0.1   19.4         1 ?   Aggregatibacter sRNA JA02
mir-2513             RF04108   8wmn_F               -          cm        1      120       76       21      -    no    1 0.23   0.2   15.7         1 ?   mir-2513 microRNA precursor family
MIR9486              RF04157   8wmn_F               -          cm        1      119       23       73      +    no    1 0.24   0.1   14.5       1.4 ?   MIR9486 microRNA precursor family
mir-7359             RF03210   8wmn_F               -          cm        1       56       77       16      -    no    1 0.27   0.0   15.7       1.4 ?   mir-7359 microRNA precursor family
MIR4245              RF03621   8wmn_F               -          cm        1      126       71       26      -    no    3 0.22   0.1   15.5       1.8 ?   MIR4245 microRNA precursor family
mir-1781             RF03208   8wmn_F               -          cm        1       86       22       75      +    no    1 0.22   0.2   14.6       2.2 ?   mir-1781 microRNA precursor family
Sacc_telomerase      RF01050   8wmn_F               -          cm      891     1208      126       27      -    5'    2 0.32   0.0    9.8       2.7 ?   Saccharomyces telomerase
mir-1252             RF03623   8wmn_F               -          cm        1       65       23       74      +    no    1 0.23   0.1   15.6       2.7 ?   mir-1252 microRNA precursor family
snoR25               RF01600   8wmn_F               -          cm        1       70       33       98      +    no    1 0.23   1.0   16.8       3.1 ?   small nucleolar RNA snoR25
mir-395              RF00451   8wmn_F               -          cm        1      104       19       78      +    no    1 0.23   0.4   12.8       3.3 ?   mir-395 microRNA precursor family
MIR2617              RF03749   8wmn_F               -          cm        1       86       19       77      +    no    1 0.24   0.2   15.2       3.4 ?   MIR2617 microRNA precursor family
23S-methyl           RF01065   8wmn_F               -          cm        1      102       26      127      +    no    1 0.32   0.0   14.5         4 ?   23S methyl RNA motif
MIR5269              RF03789   8wmn_F               -          cm        1       80       29       68      +    no    1 0.20   0.1   14.0       4.5 ?   MIR5269 microRNA precursor family
SpF10_sRNA           RF02427   8wmn_F               -          cm        1       57       18       76      +    no    1 0.25   0.1   13.3         5 ?   Streptococcus sRNA SpF10
U4atac               RF00618   8wmn_F               -          cm       22      132      127       31      -    5'    2 0.33   0.0   11.4       5.7 ?   U4atac minor spliceosomal RNA
Pox_AX_element       RF00384   8wmn_F               -          cm        1       62       71       31      -    no    1 0.22   0.0   13.7       5.8 ?   Poxvirus AX element late mRNA cis-regulatory element
mir-5727             RF03942   8wmn_F               -          cm        1       92       28       69      +    no    1 0.19   0.2   13.3         6 ?   mir-5727 microRNA precursor family
TtnuHACA11a          RF02318   8wmn_F               -          cm        1       94       78        1      -    3'    3 0.33   0.0   12.5       6.1 ?   Tetrahymena snoRNA TtnuHACA11a
U11                  RF00548   8wmn_F               -          cm        1      134      126       25      -    no    1 0.32   0.0   11.1       6.2 ?   U11 spliceosomal RNA
isrQ                 RF01399   8wmn_F               -          cm       29      162       25      126      +    5'    4 0.32   0.0   10.2       7.4 ?   isrQ Hfq binding RNA
isrD                 RF01388   8wmn_F               -          cm        1       51       85      127      +    no    1 0.47   0.0   10.8       8.1 ?   isrD Hfq binding RNA
mir-6128             RF03514   8wmn_F               -          cm        1       64       38       59      +    no    1 0.09   0.4   14.1       8.4 ?   mir-6128 microRNA precursor family
CRISPR-DR50          RF01363   8wmn_O               -          cm        1       46       76       21      -    no    1 0.23   0.2   34.6   0.00021 !   CRISPR RNA direct repeat element
CRISPR-DR50          RF01363   8wmn_O               -          cm        1       46       21       76      +    no    1 0.23   0.2   31.2    0.0012 !   CRISPR RNA direct repeat element
MIR8706              RF04145   8wmn_O               -          cm        1      101       75       22      -    no    1 0.22   0.2   25.9    0.0022 !   MIR8706 microRNA precursor family
MIR8706              RF04145   8wmn_O               -          cm        1      101       22       75      +    no    1 0.22   0.2   23.7    0.0086 !   MIR8706 microRNA precursor family
mir-3047             RF03339   8wmn_O               -          cm        1       61       74       21      -    no    1 0.24   0.1   23.2    0.0091 !   mir-3047 microRNA precursor family
MIR6288              RF03664   8wmn_O               -          cm        1       92       75       22      -    no    1 0.22   0.2   22.1     0.017 ?   MIR6288 microRNA precursor family
MIR7696              RF03743   8wmn_O               -          cm        1       88       74       23      -    no    1 0.23   0.1   22.4     0.023 ?   MIR7696 microRNA precursor family
bantam               RF00727   8wmn_O               -          cm        1       82       14       78      +    no    1 0.28   0.0   22.2     0.023 ?   bantam microRNA precursor family
tracrRNA             RF02348   8wmn_O               -          cm        1       92       45      127      +    no    1 0.35   0.0   23.6      0.03 ?   Trans-activating crRNA
bantam               RF00727   8wmn_O               -          cm        1       82       83       19      -    no    1 0.25   0.5   21.6     0.033 ?   bantam microRNA precursor family
mir-2076             RF04036   8wmn_O               -          cm        1       68       75       21      -    no    1 0.24   0.1   20.0     0.048 ?   mir-2076 microRNA precursor family
MIR1882              RF03632   8wmn_O               -          cm        1      131       77       20      -    no    3 0.24   0.2   19.8     0.056 ?   MIR1882 microRNA precursor family
STnc560              RF01407   8wmn_O               -          cm        1      129       39      127      +    3'    3 0.33   0.0   17.4     0.057 ?   STnc560 Hfq binding RNA
mir-876              RF00935   8wmn_O               -          cm        1       81       72       25      -    no    1 0.21   0.2   19.9      0.06 ?   microRNA mir-876
MIR6288              RF03664   8wmn_O               -          cm        1       92       22       75      +    no    1 0.22   0.2   19.8     0.075 ?   MIR6288 microRNA precursor family
mir-203              RF00696   8wmn_O               -          cm        1       80       12       81      +    no    1 0.31   0.0   17.5     0.081 ?   microRNA mir-203
mir-3167             RF03217   8wmn_O               -          cm        7       51       75       22      -    no    1 0.22   0.2   20.0      0.15 ?   mir-3167 microRNA precursor family
MIR861               RF03263   8wmn_O               -          cm        1      111       74       23      -    no    1 0.23   0.1   19.4      0.16 ?   MIR861 microRNA precursor family
MIR4378              RF03722   8wmn_O               -          cm        1       91       74       23      -    no    1 0.23   0.1   19.1      0.21 ?   MIR4378 microRNA precursor family
mir-3047             RF03339   8wmn_O               -          cm        1       61       21       78      +    no    1 0.22   0.4   18.0      0.22 ?   mir-3047 microRNA precursor family
mir-876              RF00935   8wmn_O               -          cm        7       75       21       76      +    no    1 0.23   0.2   17.8      0.22 ?   microRNA mir-876
mir-5892             RF03689   8wmn_O               -          cm        1       90       20       77      +    no    1 0.24   0.2   17.9      0.24 ?   mir-5892 microRNA precursor family
MIR8041              RF03813   8wmn_O               -          cm        1       71       24       75      +    no    1 0.23   0.1   17.5       0.3 ?   MIR8041 microRNA precursor family
mir-3747             RF03640   8wmn_O               -          cm        1       67       19       76      +    no    1 0.24   0.2   16.9      0.39 ?   mir-3747 microRNA precursor family
mir-3140             RF03501   8wmn_O               -          cm        1       90       20       78      +    no    1 0.24   0.2   17.2      0.46 ?   mir-3140 microRNA precursor family
MIR4378              RF03722   8wmn_O               -          cm        1       91       23       74      +    no    1 0.23   0.1   17.6      0.47 ?   MIR4378 microRNA precursor family
K10_TLS              RF00207   8wmn_O               -          cm        1       48       75       22      -    no    1 0.22   0.2   16.5       0.5 ?   K10 transport/localisation element (TLS)
mir-203              RF00696   8wmn_O               -          cm        1       80       82       19      -    no    1 0.25   0.4   14.6      0.54 ?   microRNA mir-203
CRISPR-DR49          RF01362   8wmn_O               -          cm        1       47       21       69      +    no    1 0.22   0.2   18.0      0.57 ?   CRISPR RNA direct repeat element
cow-rumen-4          RF02948   8wmn_O               -          cm        1       64       35       95      +    no    1 0.25   0.2   18.0      0.68 ?   cow-rumen-4 RNA
mir-2513             RF04108   8wmn_O               -          cm        1      120       21       76      +    no    1 0.23   0.2   15.9      0.89 ?   mir-2513 microRNA precursor family
JA02                 RF02730   8wmn_O               -          cm        1      116       18      110      +    no    1 0.31   0.1   19.4         1 ?   Aggregatibacter sRNA JA02
mir-2513             RF04108   8wmn_O               -          cm        1      120       76       21      -    no    1 0.23   0.2   15.7         1 ?   mir-2513 microRNA precursor family
MIR9486              RF04157   8wmn_O               -          cm        1      119       23       73      +    no    1 0.24   0.1   14.5       1.4 ?   MIR9486 microRNA precursor family
mir-7359             RF03210   8wmn_O               -          cm        1       56       77       16      -    no    1 0.27   0.0   15.7       1.4 ?   mir-7359 microRNA precursor family
MIR4245              RF03621   8wmn_O               -          cm        1      126       71       26      -    no    3 0.22   0.1   15.5       1.8 ?   MIR4245 microRNA precursor family
mir-1781             RF03208   8wmn_O               -          cm        1       86       22       75      +    no    1 0.22   0.2   14.6       2.2 ?   mir-1781 microRNA precursor family
Sacc_telomerase      RF01050   8wmn_O               -          cm      891     1208      126       27      -    5'    2 0.32   0.0    9.8       2.7 ?   Saccharomyces telomerase
mir-1252             RF03623   8wmn_O               -          cm        1       65       23       74      +    no    1 0.23   0.1   15.6       2.7 ?   mir-1252 microRNA precursor family
snoR25               RF01600   8wmn_O               -          cm        1       70       33       98      +    no    1 0.23   1.0   16.8       3.1 ?   small nucleolar RNA snoR25
mir-395              RF00451   8wmn_O               -          cm        1      104       19       78      +    no    1 0.23   0.4   12.8       3.3 ?   mir-395 microRNA precursor family
MIR2617              RF03749   8wmn_O               -          cm        1       86       19       77      +    no    1 0.24   0.2   15.2       3.4 ?   MIR2617 microRNA precursor family
23S-methyl           RF01065   8wmn_O               -          cm        1      102       26      127      +    no    1 0.32   0.0   14.5         4 ?   23S methyl RNA motif
MIR5269              RF03789   8wmn_O               -          cm        1       80       29       68      +    no    1 0.20   0.1   14.0       4.5 ?   MIR5269 microRNA precursor family
SpF10_sRNA           RF02427   8wmn_O               -          cm        1       57       18       76      +    no    1 0.25   0.1   13.3         5 ?   Streptococcus sRNA SpF10
U4atac               RF00618   8wmn_O               -          cm       22      132      127       31      -    5'    2 0.33   0.0   11.4       5.7 ?   U4atac minor spliceosomal RNA
Pox_AX_element       RF00384   8wmn_O               -          cm        1       62       71       31      -    no    1 0.22   0.0   13.7       5.8 ?   Poxvirus AX element late mRNA cis-regulatory element
mir-5727             RF03942   8wmn_O               -          cm        1       92       28       69      +    no    1 0.19   0.2   13.3         6 ?   mir-5727 microRNA precursor family
TtnuHACA11a          RF02318   8wmn_O               -          cm        1       94       78        1      -    3'    3 0.33   0.0   12.5       6.1 ?   Tetrahymena snoRNA TtnuHACA11a
U11                  RF00548   8wmn_O               -          cm        1      134      126       25      -    no    1 0.32   0.0   11.1       6.2 ?   U11 spliceosomal RNA
isrQ                 RF01399   8wmn_O               -          cm       29      162       25      126      +    5'    4 0.32   0.0   10.2       7.4 ?   isrQ Hfq binding RNA
isrD                 RF01388   8wmn_O               -          cm        1       51       85      127      +    no    1 0.47   0.0   10.8       8.1 ?   isrD Hfq binding RNA
mir-6128             RF03514   8wmn_O               -          cm        1       64       38       59      +    no    1 0.09   0.4   14.1       8.4 ?   mir-6128 microRNA precursor family
c-di-AMP             RF00379   6n5s_A               -          cm       11      131        4      123      +    no    1 0.52   0.0   90.2   1.6e-22 !   c-di-AMP riboswitch aptamer (ydaO/yuaA leader)
Poribacteria-1       RF03113   6n5s_A               -          cm        1      107      110       31      -    no    1 0.56   0.0   11.1       8.7 ?   Poribacteria-1 RNA
mir-1322             RF03336   1zev_B               -          cm       52       69        1       18      +    5'    2 0.67   0.0   11.0       2.8 ?   mir-1322 microRNA precursor family
mir-1322             RF03336   1zev_A               -          cm       52       69        1       18      +    5'    2 0.67   0.0   11.0       2.8 ?   mir-1322 microRNA precursor family
sR20                 RF01140   3p59_E               -          cm       40       53        2       15      +    3'    4 0.57   0.0    8.9       2.5 ?   Small nucleolar RNA sR20
sR20                 RF01140   3p59_A               -          cm       40       53        2       15      +    3'    4 0.57   0.0    8.9       2.5 ?   Small nucleolar RNA sR20
sR20                 RF01140   3p59_G               -          cm       40       53        2       15      +    3'    4 0.57   0.0    8.9       2.5 ?   Small nucleolar RNA sR20
sR20                 RF01140   3p59_C               -          cm       40       53        2       15      +    3'    4 0.57   0.0    8.9       2.5 ?   Small nucleolar RNA sR20
Proteo-phage-1       RF03044   3p59_H               -          cm       74       82        1        9      +    5'    2 0.89   0.0    8.0       3.6 ?   Proteo-phage-1 RNA
Proteo-phage-1       RF03044   3p59_D               -          cm       74       82        1        9      +    5'    2 0.89   0.0    8.0       3.6 ?   Proteo-phage-1 RNA
Proteo-phage-1       RF03044   3p59_B               -          cm       74       82        1        9      +    5'    2 0.89   0.0    8.0       3.6 ?   Proteo-phage-1 RNA
Proteo-phage-1       RF03044   3p59_F               -          cm       74       82        1        9      +    5'    2 0.89   0.0    8.0       3.6 ?   Proteo-phage-1 RNA
NsiR1                RF02399   4oq9_T               -          cm       53       60       10        3      -    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
NsiR1                RF02399   4oq9_V               -          cm       53       60       10        3      -    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
NsiR1                RF02399   4oq9_W               -          cm       53       60       10        3      -    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
NsiR1                RF02399   4oq9_S               -          cm       53       60       10        3      -    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
NsiR1                RF02399   4oq9_c               -          cm       53       60       10        3      -    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
NsiR1                RF02399   4oq9_R               -          cm       53       60       10        3      -    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
NsiR1                RF02399   4oq9_X               -          cm       53       60       10        3      -    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
NsiR1                RF02399   4oq9_Y               -          cm       53       60       10        3      -    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
NsiR1                RF02399   4oq9_a               -          cm       53       60       10        3      -    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
NsiR1                RF02399   4oq9_d               -          cm       53       60       10        3      -    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
NsiR1                RF02399   4oq9_U               -          cm       53       60       10        3      -    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
NsiR1                RF02399   4oq9_Q               -          cm       53       60       10        3      -    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
NsiR1                RF02399   4oq9_P               -          cm       53       60       10        3      -    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
NsiR1                RF02399   4oq9_Z               -          cm       53       60       10        3      -    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
NsiR1                RF02399   4oq9_b               -          cm       53       60       10        3      -    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
NsiR1                RF02399   4oq9_n               -          cm       53       60        1        8      +    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
NsiR1                RF02399   4oq9_s               -          cm       53       60        1        8      +    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
NsiR1                RF02399   4oq9_l               -          cm       53       60        1        8      +    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
NsiR1                RF02399   4oq9_m               -          cm       53       60        1        8      +    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
NsiR1                RF02399   4oq9_k               -          cm       53       60        1        8      +    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
NsiR1                RF02399   4oq9_g               -          cm       53       60        1        8      +    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
NsiR1                RF02399   4oq9_j               -          cm       53       60        1        8      +    5'    2 0.00   1.0    6.1       8.1 ?   Nitrogen stress-induced RNA 1
